continent,country_name,dataset_id,date,latitude,layer_id,layer_name,licence,longitude,lower_depth,method_options,organic_surface,positional_uncertainty,profile_code,profile_id,region,upper_depth,value,value_avg
Asia,Indonesia,WD-WISE,1987-11-1,2.15,44266,IIB,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",98.55,160,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0061,1124874,South-Eastern Asia,135,{2.5},2.5
Asia,Indonesia,WD-WISE,1988-??-??,-1.020833333333333,28849,Ah,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",116.56666666666666,10,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,1 km - 10 km,ID0071,1121942,South-Eastern Asia,0,{30.5},30.5
Asia,Indonesia,WD-ISIS,1983-7-1,4.816666666666666,2636,AC,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",96.75,31,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID023,1115671,South-Eastern Asia,17,{36.0},36.0
Asia,Indonesia,WD-ISIS,1987-12-1,0.961111111111111,3877,Ah2,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",101.17777777777778,32,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,1 km - 10 km,ID041,1115854,South-Eastern Asia,14,{14.4},14.4
Asia,Indonesia,WD-WISE,1981-9-1,-7.983333333333333,36196,A1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",112.66666666666667,23,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0027,1123372,South-Eastern Asia,0,{17.7},17.7
Asia,Indonesia,WD-Mangroves,1997-??-??,-4.796595096588135,3177209,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",136.85011291503906,30,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,GJB04 1,1117511,South-Eastern Asia,26,{116.4},116.4
Asia,Indonesia,WD-ISIS,1987-5-1,-7.616666666666667,2549,A'h,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",112.83333333333333,113,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID025,1115659,South-Eastern Asia,80,{5.2},5.2
Asia,Indonesia,WD-Mangroves,2009-??-??,1.371713995933533,3172594,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",124.5511474609375,15,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 S6 Core 4,1116593,South-Eastern Asia,0,{209.8},209.8
Asia,Indonesia,WD-ISIS,1987-12-1,1.941666666666667,4259,2Cg2,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",101.32222222222222,33,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,1 km - 10 km,ID042,1115907,South-Eastern Asia,16,{33.4},33.4
Asia,Indonesia,WD-Mangroves,2009-??-??,-2.848918914794922,3177702,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",111.73895263671875,300,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 B2 Core 2,1117589,South-Eastern Asia,100,{111.7},111.7
Asia,Indonesia,WD-WISE,1987-6-1,-6.386111111111111,43912,3Bw,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",106.5375,100,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,1 km - 10 km,ID0059,1124814,South-Eastern Asia,85,{3.0},3.0
Asia,Indonesia,WD-Mangroves,2012-??-??,-2.170000076293945,3172105,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",133.53582763671875,265,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DM15 Bintuni,1116471,South-Eastern Asia,100,{53.2},53.2
Asia,Indonesia,US-NCSS,1982-2-1,-4.866666666666667,602956,,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,104.98333333333333,192,"{""sample pretreatment = [ sieved over 2 mm sieve ]""}",False,Over 10 km,82P0382,1052481,South-Eastern Asia,162,{2.1},2.1
Asia,Indonesia,WD-WISE,1981-7-1,-6.833333333333333,43308,2B2b,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",107.61666666666666,141,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0019,1124715,South-Eastern Asia,132,{91.6},91.6
Asia,Indonesia,WD-Mangroves,2009-??-??,-2.737514019012451,3175685,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",111.7386474609375,300,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 B1 Core 6,1117304,South-Eastern Asia,100,{77.0},77.0
Asia,Indonesia,WD-NWAFU-SCS,????-??-??,-1.066666722297668,3178387,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",116.93333435058594,60,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,88,1117706,South-Eastern Asia,35,{3.4},3.4
Asia,Indonesia,WD-WISE,1981-9-1,-7.983333333333333,35857,Ap,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",112.66666666666667,4,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0024,1123309,South-Eastern Asia,0,{22.4},22.4
Asia,Indonesia,WD-ISIS,1980-6-1,3.783333333333333,2679,,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",97.61666666666666,75,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID008,1115677,South-Eastern Asia,70,{11.1},11.1
Asia,Indonesia,WD-WISE,1980-??-??,-6.665,28770,C,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",106.87,850,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,1 km - 10 km,ID0006,1121928,South-Eastern Asia,450,{1.1},1.1
Asia,Indonesia,WD-ISIS,1987-6-1,-6.583333333333333,4292,Bw3,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",106.81666666666666,120,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID004,1115912,South-Eastern Asia,80,{4.0},4.0
Asia,Indonesia,WD-ISIS,1987-5-1,-7.616666666666667,2551,AC1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",112.83333333333333,140,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID025,1115659,South-Eastern Asia,113,{4.0},4.0
Asia,Indonesia,US-NCSS,1982-2-1,-6.95,602963,Bwb2,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,107.56666666666666,169,"{""sample pretreatment = [ sieved over 2 mm sieve ]""}",False,Over 10 km,82P0381,1052482,South-Eastern Asia,136,{58.8},58.8
Asia,Indonesia,WD-WISE,1982-2-1,-4.866666666666667,36206,Bt4,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",104.98333333333333,128,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0028,1123373,South-Eastern Asia,111,{2.8},2.8
Asia,Indonesia,WD-WISE,1982-12-1,-0.533333333333333,44468,2Bw2,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",112.6,104,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0031,1124907,South-Eastern Asia,73,{3.0},3.0
Asia,Indonesia,WD-WISE,1982-12-1,-0.533333333333333,44466,Bw1,"Attribution 3.0 International (CC BY 3.0), https://creativecommons.org/licenses/by/3.0/",112.6,39,"{""calculation = [ default correction factor for recovery of 1.3 - assumed ] detection = [ titrimetric ] reaction = [ wet oxidation with Sulphuric acid [H2SO4] - Potassiumbichromate [K2Cr2O7] (and Phosphoric acid [H3PO4]) mixture ] sample pretreatment = [ sieved over 2 mm sieve ] temperature = [ no external heat ]""}",False,Over 10 km,ID0031,1124907,South-Eastern Asia,15,{4.9},4.9
Asia,Indonesia,WD-ISIS,1987-6-1,-6.7,3644,3Ah,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/",106.9,101,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Over 10 km,ID003,1115820,South-Eastern Asia,85,{11.1},11.1
Asia,Indonesia,WD-Mangroves,2009-??-??,-7.724600791931152,3172901,,"CC0 1.0 Universal (CC0 1.0) Public Domain Dedication, https://creativecommons.org/publicdomain/zero/1.0/deed.en",108.97003936767578,30,"{""sample pretreatment = [ sieved over 2 mm sieve ] spectral = [ false ]""}",False,Circa 100 m,DCD11 J2 Core 5,1116651,South-Eastern Asia,15,{64.6},64.6
