continent,country_name,dataset_id,date,latitude,layer_id,layer_name,licence,longitude,lower_depth,method_options,organic_surface,positional_uncertainty,profile_code,profile_id,region,upper_depth,value,value_avg
Asia,Indonesia,US-NCSS,1994-6-28,-8.5646944,839852,A,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,119.5031357,15,{NULL},False,Circa 100 m,94P0838,1084468,South-Eastern Asia,0,{8.00},8.0
Asia,Indonesia,US-NCSS,1994-6-27,-8.5419168,839847,EB,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,119.487831099999,4,{NULL},False,Circa 100 m,94P0837,1084467,South-Eastern Asia,0,{7.00},7.0
Asia,Indonesia,US-NCSS,1994-6-29,-8.5696115,839860,,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,119.5001678,3,{NULL},False,Circa 100 m,94P0839,1084469,South-Eastern Asia,0,{0.00},0.0
Asia,Indonesia,US-NCSS,1994-6-30,-8.5583887,839866,A1,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,119.4660568,10,{NULL},False,Circa 100 m,94P0840,1084470,South-Eastern Asia,0,{0.00},0.0
Asia,Indonesia,US-NCSS,1994-6-26,-8.5702496,839839,A,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/,119.489502,12,{NULL},False,Circa 100 m,94P0836,1084466,South-Eastern Asia,0,{0.00},0.0
